aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
SPN,11,16,-7.88,-13.81,1,33.0,25.0,1,99.0,94.0,CANC_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
SPN,12,16,-7.13,-10.94,1,15.0,14.0,0,,,N/D
SPS,1,27,-9.37,-13.33,5,30.6,28.4,9,126.67,124.33,DELAY_WEATHER|DELAY_CARRIER|CANC_WEATHER
SPS,2,40,-7.1,-11.9,3,25.67,32.33,2,166.5,160.5,DELAY_CARRIER|DELAY_NAS|DELAY_WEATHER
SPS,3,32,-6.53,-14.97,2,28.0,25.0,3,224.67,208.33,DELAY_CARRIER|DELAY_WEATHER
SPS,4,39,-7.28,-11.77,2,41.0,42.0,3,96.0,103.67,DELAY_CARRIER|CANC_WEATHER|DELAY_LATE_AIRCRAFT
SPS,5,34,-4.12,-7.06,3,44.33,34.67,4,178.5,176.5,DELAY_CARRIER|CANC_WEATHER|DELAY_WEATHER
SPS,6,36,-7.94,-14.61,2,39.0,30.5,3,92.33,88.0,DELAY_WEATHER|CANC_WEATHER|DELAY_CARRIER
SPS,7,35,-7.66,-8.0,1,53.0,74.0,4,114.25,118.5,DELAY_WEATHER|DELAY_CARRIER|DELAY_NAS
SPS,8,40,-7.35,-11.8,2,29.5,28.5,1,431.0,418.0,DELAY_CARRIER|DELAY_WEATHER
SPS,9,40,-7.48,-8.7,1,21.0,8.0,1,187.0,183.0,DELAY_CARRIER|DELAY_WEATHER
SPS,10,34,-6.12,-13.44,2,31.5,24.5,6,180.17,170.83,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
SPS,11,38,-1.26,-10.05,3,38.67,29.67,3,170.67,161.67,DELAY_CARRIER|DELAY_WEATHER|CANC_WEATHER
SPS,12,38,-2.87,-10.61,2,23.0,20.0,2,143.0,141.0,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
SRQ,1,821,-4.97,-12.3,154,30.73,22.76,118,178.44,171.53,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SRQ,2,930,-5.45,-7.66,95,32.31,24.4,51,164.8,163.59,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SRQ,3,1018,-4.74,-8.62,182,31.04,24.75,110,188.8,185.89,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SRQ,4,952,-4.32,-8.02,100,29.62,27.62,72,175.22,169.71,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SRQ,5,731,-3.63,-6.55,126,28.98,28.97,88,151.59,152.36,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SRQ,6,637,-4.15,-8.39,101,29.44,24.68,57,198.6,195.51,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SRQ,7,571,-4.83,-8.3,133,33.89,31.53,89,170.1,170.44,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SRQ,8,520,-5.07,-8.16,76,35.03,32.84,52,139.0,138.44,DELAY_LATE_AIRCRAFT|DELAY_NAS|CANC_WEATHER
SRQ,9,502,-6.34,-9.59,42,35.17,27.81,24,171.54,163.0,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
SRQ,10,523,-7.58,-11.43,41,32.41,29.56,28,191.14,183.75,CANC_WEATHER|CANC_NAS|DELAY_LATE_AIRCRAFT
SRQ,11,800,-6.77,-10.31,69,32.74,28.94,39,154.97,154.54,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SRQ,12,838,-5.6,-9.65,136,30.38,26.18,97,243.15,242.28,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STC,1,9,-2.89,-6.89,2,42.0,38.0,2,576.0,541.0,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_WEATHER
STC,2,14,-8.14,-21.57,1,18.0,-23.0,1,103.0,80.0,DELAY_LATE_AIRCRAFT
STC,3,8,-15.63,-33.75,1,16.0,45.0,1,183.0,174.0,DELAY_NAS|DELAY_WEATHER
STC,4,9,-15.0,-30.44,0,,,0,,,N/D
STC,5,8,-6.63,-6.5,0,,,0,,,DELAY_NAS
STC,6,6,-4.5,-10.67,0,,,0,,,N/D
STC,7,4,-4.5,-19.0,0,,,0,,,CANC_CARRIER
STC,8,2,-6.5,-25.0,1,33.0,13.0,0,,,N/D
STC,10,6,0.0,-11.67,1,50.0,41.0,0,,,DELAY_CARRIER
STC,11,6,-1.83,-9.0,2,23.0,15.0,0,,,DELAY_CARRIER
STC,12,5,6.2,-19.2,5,24.0,6.4,1,186.0,194.0,CANC_WEATHER|DELAY_CARRIER|DELAY_NAS
STL,1,2464,-2.0,-6.68,596,30.73,28.74,240,147.99,150.64,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STL,2,2690,-3.01,-8.97,380,28.84,25.65,128,155.69,151.45,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STL,3,2890,-2.28,-8.47,593,30.35,24.59,232,134.91,133.35,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STL,4,3000,-2.07,-7.72,496,30.17,24.89,235,132.4,129.34,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
