compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
AA,MKE,26,-37.0,148.0,4.58,0.0769,1|2|4|5|6|7|8|9|10|11|12
AA,SMF,26,-33.0,1205.0,41.36,0.0385,2|3|5|6|7|8|9|10|11|12
AA,GRR,26,-24.0,609.0,24.77,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,SDF,25,-34.0,325.0,22.56,0.0,1|2|3|4|5|6|7|8|9|10|12
AA,ELP,25,-25.0,208.0,23.33,0.04,1|3|4|6|8|9|10|11|12
AA,ABQ,25,-27.0,158.0,13.84,0.0,1|2|3|4|5|6|7|8|10|12
AA,BUF,25,-35.0,92.0,0.52,0.0,1|3|4|6|7|8|9|10|11|12
AA,PVD,25,-30.0,570.0,20.12,0.0,2|4|5|6|7|8|9|10|11|12
AA,HNL,23,-49.0,152.0,-8.39,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,XNA,23,-21.0,162.0,15.52,0.0,1|2|3|4|5|6|7|8|9|10
AA,EGE,22,-24.0,241.0,11.45,0.0,1|2|3|6|7|8|9|11|12
AA,MFE,21,-20.0,258.0,23.05,0.0,1|3|5|7|9|10|11|12
AA,GSP,21,-30.0,1143.0,64.0,0.0,1|2|3|4|5|6|7|8|11
AA,SAV,20,-34.0,152.0,14.74,0.05,1|2|4|5|6|7|8|9|10|11|12
AA,PSP,20,-32.0,133.0,11.15,0.0,1|2|3|4|5|7|8|9|10|11|12
AA,MSN,19,-20.0,142.0,17.63,0.0,1|2|3|4|5|6|7|8|10|11|12
AA,TUL,19,-26.0,82.0,0.74,0.0,1|3|4|5|6|7|8|9|10|11|12
AA,VPS,18,-21.0,417.0,48.0,0.0,1|2|3|4|5|6|7|8|9|10|12
AA,EYW,18,-23.0,1399.0,105.94,0.0,1|2|3|4|5|6|7|10|11|12
AA,PNS,17,-20.0,337.0,69.06,0.0,2|3|4|5|8|10|11|12
AA,ALB,17,-23.0,266.0,19.41,0.0,1|2|3|4|5|6|7|8|9|10|11
AA,MDT,16,-29.0,925.0,59.81,0.0,1|2|4|6|7|8|9|10|12
AA,LEX,16,-25.0,91.0,9.93,0.0625,2|3|4|6|7|8|9
AA,ILM,16,-30.0,1612.0,119.5,0.0,1|3|4|6|7|8|9|12
AA,SYR,15,-24.0,176.0,17.07,0.0,2|4|5|6|7|8|9|12
AA,OGG,15,-53.0,62.0,-12.27,0.0,1|2|5|8|9|11
AA,BZN,14,-33.0,112.0,-5.5,0.0,1|2|3|4|6|8|9|11
AA,CID,14,-25.0,39.0,2.75,0.1429,1|5|6|7|8|9|10
AA,BUR,14,-21.0,23.0,-8.43,0.0,1|2|5|6|7|8|9|10|11
AA,LIT,13,-18.0,63.0,13.54,0.0,1|3|5|6|7|8|9|10
AA,AVP,13,-27.0,110.0,11.08,0.0769,1|5|7|8|9|10|11
AA,PWM,13,-28.0,158.0,3.38,0.0,1|2|5|6|7|9|10|11
AA,FAT,13,-25.0,148.0,4.54,0.0,2|3|5|6|10|11|12
AA,SRQ,13,-18.0,257.0,23.0,0.0769,1|3|4|7|8|9|10|11
AA,MYR,13,-35.0,137.0,-1.46,0.0,3|4|5|10
AA,KOA,13,-45.0,44.0,-11.15,0.0,1|2|3|4|6|7|8|10|11
AA,BFL,12,-35.0,569.0,53.91,0.0833,1|2|3|4|5|7|8|10|12
AA,COS,11,-25.0,29.0,-0.82,0.0,2|3|4|6|7|8|9|10|11
AA,ROC,11,-11.0,121.0,16.64,0.0,1|4|5|7|8|10|12
AA,TYS,11,-37.0,235.0,22.73,0.0,1|2|3|4|6|8|10
AA,SBP,10,-23.0,73.0,5.5,0.0,1|3|4|7|11|12
AA,SJC,10,-24.0,43.0,1.4,0.0,1|2|4|5|6|10
AA,GEG,10,-27.0,34.0,-12.5,0.0,1|2|5|7|8|9
AA,STX,10,-22.0,39.0,-2.0,0.0,1|2|3|4|6|7|12
AA,IAD,10,-33.0,34.0,4.3,0.0,1|2|5|6|9|11|12
AA,STT,9,-42.0,2346.0,326.78,0.0,1|2|3|4|5|8|11
AA,BGR,9,-25.0,44.0,0.89,0.0,6|7|8|9|10
AA,SBA,9,-20.0,292.0,39.33,0.0,4|5|6|8|9|10|11
AA,CAE,9,-38.0,11.0,-10.38,0.1111,2|3|4|9|10
AA,GSO,8,-22.0,182.0,38.71,0.125,1|3|5|6|7|8|9
AA,LIH,8,-52.0,-19.0,-31.38,0.0,1|2|3|6|7|10|11|12
AA,JAC,7,-23.0,79.0,21.86,0.0,2|5|6|7|8|9
AA,AVL,7,-20.0,302.0,75.14,0.0,5|7|8|10
AA,BTV,7,-28.0,11.0,-12.71,0.0,5|6|7|8|10|11
