aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
TOL,9,5,2.2,-7.8,1,57.0,42.0,2,111.0,104.0,DELAY_CARRIER|CANC_WEATHER|DELAY_WEATHER
TOL,10,20,-5.9,-4.95,1,15.0,6.0,2,139.0,135.5,CANC_WEATHER|DELAY_LATE_AIRCRAFT|CANC_CARRIER
TOL,11,21,-5.19,-8.86,5,29.4,23.0,2,72.0,65.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
TOL,12,25,-8.16,-17.8,6,33.0,42.17,6,91.83,90.83,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TPA,1,5176,-2.5,-9.58,938,31.12,23.85,478,146.54,140.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TPA,2,5647,-3.24,-6.74,654,29.86,23.46,229,149.48,145.66,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TPA,3,5751,-2.3,-5.13,1218,31.67,30.14,926,150.75,151.8,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TPA,4,5762,-2.47,-6.38,777,30.68,26.27,479,161.38,156.23,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TPA,5,4956,-1.62,-3.8,995,30.94,30.24,785,157.95,163.23,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TPA,6,4546,-1.52,-6.52,1005,31.55,27.74,614,144.61,140.5,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TPA,7,4141,-1.81,-5.26,1143,32.76,31.51,851,154.12,152.28,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TPA,8,4187,-2.21,-8.07,863,30.98,28.2,584,150.94,149.43,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TPA,9,4356,-3.29,-7.94,490,30.03,25.84,287,131.19,126.54,DELAY_LATE_AIRCRAFT|DELAY_NAS|CANC_WEATHER
TPA,10,4679,-3.98,-10.94,494,28.91,22.15,238,134.62,128.89,CANC_WEATHER|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
TPA,11,5517,-3.59,-9.62,571,30.93,25.44,236,151.02,146.43,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TPA,12,5203,-2.61,-9.3,1030,31.22,25.33,533,132.89,130.92,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TRI,1,150,-5.19,-11.43,21,34.33,30.71,16,153.19,153.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TRI,2,147,-5.8,-15.85,9,30.22,15.89,5,236.8,228.4,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TRI,3,144,-5.8,-17.26,16,33.75,22.19,6,104.67,102.17,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
TRI,4,150,-5.29,-12.89,6,27.0,15.17,6,92.67,95.67,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TRI,5,131,-4.31,-12.11,18,33.39,31.0,16,123.69,121.25,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
