compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
AA,ORF,5736,-56.0,2427.0,15.74,0.0202,1|2|3|4|5|6|7|8|9|10|11|12
AA,ELP,5500,-35.0,1771.0,14.85,0.0171,1|2|3|4|5|6|7|8|9|10|11|12
AA,MKE,5410,-44.0,2282.0,20.22,0.017,1|2|3|4|5|6|7|8|9|10|11|12
AA,OKC,5402,-37.0,2161.0,16.41,0.0185,1|2|3|4|5|6|7|8|9|10|11|12
AA,SRQ,5246,-42.0,1630.0,19.32,0.0324,1|2|3|4|5|6|7|8|9|10|11|12
AA,SDF,5152,-43.0,2549.0,22.58,0.0202,1|2|3|4|5|6|7|8|9|10|11|12
AA,GRR,5044,-62.0,3208.0,15.53,0.0123,1|2|3|4|5|6|7|8|9|10|11|12
AA,DSM,4984,-69.0,2833.0,24.76,0.0169,1|2|3|4|5|6|7|8|9|10|11|12
AA,TUL,4866,-37.0,2009.0,19.19,0.0226,1|2|3|4|5|6|7|8|9|10|11|12
AA,RNO,4806,-54.0,1493.0,13.6,0.0125,1|2|3|4|5|6|7|8|9|10|11|12
AA,HNL,4508,-78.0,2270.0,-6.2,4.0E-4,1|2|3|4|5|6|7|8|9|10|11|12
AA,PVD,4410,-37.0,1419.0,11.79,0.0091,1|2|3|4|5|6|7|8|9|10|11|12
AA,BUF,4356,-53.0,1613.0,15.07,0.0138,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSN,4134,-62.0,2709.0,24.21,0.0121,1|2|3|4|5|6|7|8|9|10|11|12
AA,FAT,4090,-42.0,1888.0,16.96,0.0142,1|2|3|4|5|6|7|8|9|10|11|12
AA,STT,3982,-53.0,2346.0,26.77,0.009,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAV,3796,-41.0,1884.0,21.27,0.0253,1|2|3|4|5|6|7|8|9|10|11|12
AA,VPS,3750,-43.0,2868.0,28.16,0.0144,1|2|3|4|5|6|7|8|9|10|11|12
AA,MFE,3628,-37.0,1399.0,19.06,0.0226,1|2|3|4|5|6|7|8|9|10|11|12
AA,PSP,3566,-46.0,1308.0,10.65,0.0123,1|2|3|4|5|6|7|8|9|10|11|12
AA,PNS,3552,-35.0,1526.0,33.62,0.0248,1|2|3|4|5|6|7|8|9|10|11|12
AA,PWM,3532,-49.0,2901.0,20.83,0.0215,1|2|3|4|5|6|7|8|9|10|11|12
AA,EYW,3462,-40.0,2685.0,41.08,0.0295,1|2|3|4|5|6|7|8|9|10|11|12
AA,SYR,3344,-65.0,2710.0,12.47,0.0114,1|2|3|4|5|6|7|8|9|10|11|12
AA,TYS,3024,-58.0,2884.0,17.53,0.0231,1|2|3|4|5|6|7|8|9|10|11|12
AA,ILM,2974,-39.0,1612.0,12.38,0.0215,1|2|3|4|5|6|7|8|9|10|11|12
AA,SJC,2896,-45.0,1645.0,9.3,0.0104,1|2|3|4|5|6|7|8|9|10|11|12
AA,ALB,2890,-80.0,1487.0,13.84,0.0083,1|2|3|4|5|6|7|8|9|10|11|12
AA,GEG,2868,-54.0,2168.0,17.59,0.0084,1|2|3|4|5|6|7|8|9|10|11|12
AA,GSP,2680,-48.0,1578.0,19.57,0.0246,1|2|3|4|5|6|7|8|9|10|11|12
AA,EGE,2652,-55.0,1521.0,36.55,0.0136,1|2|3|4|5|6|7|8|9|10|11|12
AA,GSO,2646,-60.0,1753.0,23.23,0.0272,1|2|3|4|5|6|7|8|9|10|11|12
AA,XNA,2564,-29.0,2307.0,25.17,0.0109,1|2|3|4|5|6|7|8|9|10|11|12
AA,OGG,2514,-70.0,1712.0,-1.36,0.004,1|2|3|4|5|6|7|8|9|10|11|12
AA,CID,2506,-47.0,2070.0,29.4,0.0319,1|2|3|4|5|6|7|8|9|10|11|12
AA,BUR,2458,-45.0,2230.0,15.09,0.0098,1|2|3|4|5|6|7|8|9|10|11|12
