compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,BQK,69,-31.0,508.0,11.45,0.0,3|4|6|7|11|12
9E,GNV,64,-30.0,166.0,4.33,0.0156,1|3|4|6|7|8|11|12
9E,PHL,64,-37.0,144.0,-4.31,0.0,1|2|3|11|12
9E,MQT,58,-45.0,87.0,-15.56,0.0172,1|2|3|5|6
9E,MBS,44,-25.0,103.0,-0.2,0.0,4|5|6|7|8
9E,GFK,42,-40.0,231.0,-0.55,0.0,1|2|12
9E,ORD,38,-26.0,266.0,15.78,0.0263,1|3|4|7|11
9E,GRB,34,-40.0,331.0,-7.68,0.0,1|4|5
9E,GPT,28,-34.0,221.0,1.14,0.0,1|4|11|12
9E,ABY,22,-29.0,321.0,14.18,0.0,1|2|3|11|12
9E,ECP,12,-11.0,262.0,76.33,0.0,1
9E,FLL,11,-10.0,61.0,14.82,0.0,1|12
9E,RSW,8,-28.0,78.0,15.0,0.0,1|12
9E,MIA,8,-7.0,82.0,34.75,0.0,1|12
9E,VPS,7,-3.0,86.0,29.67,0.1429,1|9|10
9E,BIS,6,-7.0,102.0,28.33,0.0,7|8
9E,AZO,5,-16.0,18.0,-4.4,0.0,1
9E,SBN,5,-31.0,-9.0,-16.4,0.0,9|11|12
9E,BOS,4,-38.0,23.0,-12.0,0.0,1
9E,TPA,3,-1.0,30.0,10.0,0.0,12
9E,DFW,2,127.0,133.0,130.0,0.0,12
9E,OKC,2,-11.0,171.0,80.0,0.0,10
AA,DFW,82793,-53.0,1490.0,19.33,0.0197,1|2|3|4|5|6|7|8|9|10|11|12
AA,CLT,62986,-65.0,1637.0,17.05,0.0134,1|2|3|4|5|6|7|8|9|10|11|12
AA,MIA,30048,-54.0,1750.0,17.56,0.0177,1|2|3|4|5|6|7|8|9|10|11|12
AA,PHX,27630,-76.0,1479.0,8.27,0.0058,1|2|3|4|5|6|7|8|9|10|11|12
AA,ORD,25763,-66.0,1799.0,16.82,0.0108,1|2|3|4|5|6|7|8|9|10|11|12
AA,PHL,22804,-66.0,2189.0,11.41,0.0178,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAX,15195,-63.0,2627.0,10.16,0.0066,1|2|3|4|5|6|7|8|9|10|11|12
AA,DCA,13680,-82.0,1964.0,9.37,0.0156,1|2|3|4|5|6|7|8|9|10|11|12
AA,MCO,9056,-48.0,1385.0,15.67,0.0192,1|2|3|4|5|6|7|8|9|10|11|12
AA,BOS,8649,-77.0,2251.0,4.98,0.0145,1|2|3|4|5|6|7|8|9|10|11|12
AA,LGA,8232,-64.0,1887.0,8.2,0.0233,1|2|3|4|5|6|7|8|9|10|11|12
AA,JFK,7208,-89.0,1707.0,0.7,0.0121,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAS,6964,-55.0,3023.0,9.92,0.0098,1|2|3|4|5|6|7|8|9|10|11|12
AA,AUS,6959,-46.0,3803.0,19.04,0.0141,1|2|3|4|5|6|7|8|9|10|11|12
AA,TPA,6245,-47.0,1682.0,15.66,0.0264,1|2|3|4|5|6|7|8|9|10|11|12
AA,RDU,5605,-60.0,2071.0,14.73,0.0152,1|2|3|4|5|6|7|8|9|10|11|12
