compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
AA,PHX,38587,-88.0,1479.0,8.42,0.0056,1|2|3|4|5|6|7|8|9|10|11|12
AA,ORD,36169,-71.0,1958.0,17.19,0.011,1|2|3|4|5|6|7|8|9|10|11|12
AA,PHL,31970,-67.0,2189.0,11.13,0.0171,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAX,21258,-64.0,2627.0,9.49,0.0067,1|2|3|4|5|6|7|8|9|10|11|12
AA,DCA,19134,-82.0,1964.0,9.33,0.0161,1|2|3|4|5|6|7|8|9|10|11|12
AA,MCO,12644,-48.0,1385.0,15.16,0.0199,1|2|3|4|5|6|7|8|9|10|11|12
AA,BOS,12013,-77.0,2251.0,4.57,0.0147,1|2|3|4|5|6|7|8|9|10|11|12
AA,LGA,11593,-64.0,1887.0,8.6,0.0232,1|2|3|4|5|6|7|8|9|10|11|12
AA,JFK,10094,-89.0,1707.0,1.37,0.0113,1|2|3|4|5|6|7|8|9|10|11|12
AA,AUS,9727,-46.0,3803.0,20.14,0.0155,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAS,9695,-55.0,3023.0,11.03,0.0092,1|2|3|4|5|6|7|8|9|10|11|12
AA,TPA,8856,-47.0,1682.0,15.82,0.0281,1|2|3|4|5|6|7|8|9|10|11|12
AA,RDU,7895,-60.0,2071.0,14.55,0.0163,1|2|3|4|5|6|7|8|9|10|11|12
AA,SFO,7499,-67.0,2972.0,15.36,0.0111,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAN,6400,-50.0,3354.0,14.12,0.0111,1|2|3|4|5|6|7|8|9|10|11|12
AA,DEN,5908,-62.0,2012.0,12.96,0.0166,1|2|3|4|5|6|7|8|9|10|11|12
AA,BNA,5887,-44.0,2989.0,22.3,0.0211,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAT,5586,-44.0,1394.0,13.81,0.019,1|2|3|4|5|6|7|8|9|10|11|12
AA,ATL,5409,-53.0,2390.0,18.37,0.0174,1|2|3|4|5|6|7|8|9|10|11|12
AA,JAX,5079,-55.0,1877.0,15.27,0.0189,1|2|3|4|5|6|7|8|9|10|11|12
AA,STL,5015,-48.0,2334.0,15.26,0.015,1|2|3|4|5|6|7|8|9|10|11|12
AA,IAH,4944,-56.0,3136.0,20.39,0.0281,1|2|3|4|5|6|7|8|9|10|11|12
AA,IND,4731,-57.0,2554.0,12.65,0.0127,1|2|3|4|5|6|7|8|9|10|11|12
AA,EWR,4724,-66.0,1598.0,13.5,0.0256,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSY,4723,-41.0,1462.0,17.52,0.0157,1|2|3|4|5|6|7|8|9|10|11|12
AA,SNA,4587,-63.0,1382.0,9.85,0.0118,1|2|3|4|5|6|7|8|9|10|11|12
AA,FLL,4556,-46.0,1940.0,18.97,0.0195,1|2|3|4|5|6|7|8|9|10|11|12
AA,PIT,4461,-49.0,2779.0,13.7,0.0123,1|2|3|4|5|6|7|8|9|10|11|12
AA,PBI,4159,-48.0,2093.0,19.82,0.0178,1|2|3|4|5|6|7|8|9|10|11|12
AA,DTW,4095,-63.0,2236.0,9.76,0.0183,1|2|3|4|5|6|7|8|9|10|11|12
AA,MCI,4050,-56.0,1741.0,14.37,0.0133,1|2|3|4|5|6|7|8|9|10|11|12
AA,SEA,3872,-51.0,1765.0,10.51,0.0147,1|2|3|4|5|6|7|8|9|10|11|12
AA,RSW,3779,-39.0,1742.0,17.62,0.023,1|2|3|4|5|6|7|8|9|10|11|12
AA,CHS,3430,-43.0,1991.0,14.55,0.016,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSP,3332,-59.0,1797.0,10.54,0.0126,1|2|3|4|5|6|7|8|9|10|11|12
AA,CLE,3276,-62.0,1626.0,10.76,0.0226,1|2|3|4|5|6|7|8|9|10|11|12
AA,MEM,3071,-45.0,2223.0,17.19,0.0176,1|2|3|4|5|6|7|8|9|10|11|12
AA,SJU,2792,-47.0,2949.0,22.63,0.0036,1|2|3|4|5|6|7|8|9|10|11|12
AA,BDL,2774,-57.0,1388.0,10.19,0.0173,1|2|3|4|5|6|7|8|9|10|11|12
AA,SLC,2726,-55.0,1227.0,12.38,0.015,1|2|3|4|5|6|7|8|9|10|11|12
AA,BWI,2641,-61.0,1866.0,11.22,0.0178,1|2|3|4|5|6|7|8|9|10|11|12
AA,RIC,2619,-48.0,1203.0,12.63,0.0157,1|2|3|4|5|6|7|8|9|10|11|12
AA,PDX,2594,-49.0,2048.0,9.96,0.015,1|2|3|4|5|6|7|8|9|10|11|12
AA,CMH,2491,-59.0,3143.0,16.82,0.0177,1|2|3|4|5|6|7|8|9|10|11|12
AA,SMF,2441,-60.0,2117.0,10.27,0.0135,1|2|3|4|5|6|7|8|9|10|11|12
AA,CVG,2376,-55.0,1760.0,14.29,0.0168,1|2|3|4|5|6|7|8|9|10|11|12
AA,ONT,2369,-46.0,1482.0,7.52,0.0122,1|2|3|4|5|6|7|8|9|10|11|12
AA,TUS,2256,-41.0,1678.0,10.79,0.0173,1|2|3|4|5|6|7|8|9|10|11|12
AA,OMA,2247,-53.0,1619.0,12.12,0.0151,1|2|3|4|5|6|7|8|9|10|11|12
AA,ABQ,2133,-44.0,1864.0,16.45,0.0192,1|2|3|4|5|6|7|8|9|10|11|12
AA,ORF,2022,-56.0,2427.0,15.02,0.0227,1|2|3|4|5|6|7|8|9|10|11|12
AA,ELP,1931,-30.0,1771.0,15.43,0.0161,1|2|3|4|5|6|7|8|9|10|11|12
AA,MKE,1892,-44.0,1456.0,18.38,0.0159,1|2|3|4|5|6|7|8|9|10|11|12
AA,OKC,1890,-36.0,1368.0,16.03,0.019,1|2|3|4|5|6|7|8|9|10|11|12
AA,SRQ,1854,-41.0,1535.0,17.94,0.0297,1|2|3|4|5|6|7|8|9|10|11|12
AA,SDF,1810,-43.0,2549.0,23.87,0.0204,1|2|3|4|5|6|7|8|9|10|11|12
AA,GRR,1772,-62.0,1602.0,15.57,0.0096,1|2|3|4|5|6|7|8|9|10|11|12
AA,TUL,1750,-37.0,2009.0,20.08,0.02,1|2|3|4|5|6|7|8|9|10|11|12
AA,DSM,1716,-69.0,2478.0,22.42,0.0157,1|2|3|4|5|6|7|8|9|10|11|12
AA,RNO,1686,-54.0,1331.0,13.96,0.0125,1|2|3|4|5|6|7|8|9|10|11|12
AA,HNL,1589,-78.0,1517.0,-6.94,6.0E-4,1|2|3|4|5|6|7|8|9|10|11|12
AA,PVD,1555,-37.0,1419.0,10.95,0.0084,1|2|3|4|5|6|7|8|9|10|11|12
AA,BUF,1521,-53.0,1613.0,12.98,0.0164,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSN,1482,-62.0,2709.0,24.35,0.0108,1|2|3|4|5|6|7|8|9|10|11|12
AA,STT,1399,-53.0,2346.0,22.85,0.01,1|2|3|4|5|6|7|8|9|10|11|12
AA,FAT,1396,-39.0,1888.0,16.05,0.015,1|2|3|4|5|6|7|8|9|10|11|12
AA,VPS,1338,-43.0,2127.0,26.65,0.0157,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAV,1324,-41.0,1884.0,22.13,0.0249,1|2|3|4|5|6|7|8|9|10|11|12
AA,MFE,1279,-30.0,895.0,17.36,0.0203,1|2|3|4|5|6|7|8|9|10|11|12
AA,PSP,1254,-46.0,1308.0,12.29,0.0144,1|2|3|4|5|6|7|8|9|10|11|12
AA,PWM,1247,-49.0,2901.0,17.95,0.0241,1|2|3|4|5|6|7|8|9|10|11|12
AA,EYW,1241,-40.0,2685.0,44.75,0.029,1|2|3|4|5|6|7|8|9|10|11|12
AA,PNS,1237,-30.0,1320.0,34.71,0.0226,1|2|3|4|5|6|7|8|9|10|11|12
AA,SYR,1150,-59.0,913.0,11.32,0.0113,1|2|3|4|5|6|7|8|9|10|11|12
AA,TYS,1069,-58.0,2884.0,16.67,0.0215,1|2|3|4|5|6|7|8|9|10|11|12
AA,ILM,1048,-39.0,1612.0,11.06,0.02,1|2|3|4|5|6|7|8|9|10|11|12
AA,SJC,1027,-45.0,1645.0,7.87,0.0127,1|2|3|4|5|6|7|8|9|10|11|12
AA,GEG,1019,-54.0,1596.0,13.95,0.0088,1|2|3|4|5|6|7|8|9|10|11|12
AA,ALB,1016,-80.0,1487.0,12.16,0.0079,1|2|3|4|5|6|7|8|9|10|11|12
AA,GSP,972,-48.0,1578.0,20.33,0.0247,1|2|3|4|5|6|7|8|9|10|11|12
AA,GSO,927,-60.0,1753.0,23.61,0.0259,1|2|3|4|5|6|7|8|9|10|11|12
AA,EGE,909,-55.0,1521.0,33.98,0.0121,1|2|3|4|5|6|7|8|9|10|11|12
AA,XNA,908,-29.0,2307.0,23.76,0.0088,1|2|3|4|5|6|7|8|9|10|11|12
AA,OGG,898,-70.0,1549.0,-1.03,0.0045,1|2|3|4|5|6|7|8|9|10|11|12
AA,BUR,880,-45.0,2200.0,14.99,0.0125,1|2|3|4|5|6|7|8|9|10|11|12
AA,CID,869,-47.0,2070.0,27.67,0.0368,1|2|3|4|5|6|7|8|9|10|11|12
AA,MYR,840,-38.0,893.0,10.66,0.0179,1|2|3|4|5|6|7|8|9|10|11|12
AA,COS,754,-43.0,1478.0,17.5,0.0252,1|2|3|4|5|6|7|8|9|10|11|12
AA,MDT,744,-52.0,1221.0,14.78,0.0134,1|2|3|4|5|6|7|8|9|10|11|12
AA,LEX,730,-40.0,1679.0,22.33,0.0205,1|2|3|4|5|6|7|8|9|10|11|12
AA,SBA,727,-43.0,1418.0,19.91,0.011,1|2|3|4|5|6|7|8|9|10|11|12
