compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
AA,TUL,2433,-37.0,2009.0,19.19,0.0226,1|2|3|4|5|6|7|8|9|10|11|12
AA,RNO,2403,-54.0,1493.0,13.6,0.0125,1|2|3|4|5|6|7|8|9|10|11|12
AA,HNL,2254,-78.0,2270.0,-6.2,0.0004,1|2|3|4|5|6|7|8|9|10|11|12
AA,PVD,2205,-37.0,1419.0,11.79,0.0091,1|2|3|4|5|6|7|8|9|10|11|12
AA,BUF,2178,-53.0,1613.0,15.07,0.0138,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSN,2067,-62.0,2709.0,24.21,0.0121,1|2|3|4|5|6|7|8|9|10|11|12
AA,FAT,2045,-42.0,1888.0,16.96,0.0142,1|2|3|4|5|6|7|8|9|10|11|12
AA,STT,1991,-53.0,2346.0,26.77,0.009,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAV,1898,-41.0,1884.0,21.27,0.0253,1|2|3|4|5|6|7|8|9|10|11|12
AA,VPS,1875,-43.0,2868.0,28.16,0.0144,1|2|3|4|5|6|7|8|9|10|11|12
AA,MFE,1814,-37.0,1399.0,19.06,0.0226,1|2|3|4|5|6|7|8|9|10|11|12
AA,PSP,1783,-46.0,1308.0,10.65,0.0123,1|2|3|4|5|6|7|8|9|10|11|12
AA,PNS,1776,-35.0,1526.0,33.62,0.0248,1|2|3|4|5|6|7|8|9|10|11|12
AA,PWM,1766,-49.0,2901.0,20.83,0.0215,1|2|3|4|5|6|7|8|9|10|11|12
AA,EYW,1731,-40.0,2685.0,41.08,0.0295,1|2|3|4|5|6|7|8|9|10|11|12
AA,SYR,1672,-65.0,2710.0,12.47,0.0114,1|2|3|4|5|6|7|8|9|10|11|12
AA,TYS,1512,-58.0,2884.0,17.53,0.0231,1|2|3|4|5|6|7|8|9|10|11|12
AA,ILM,1487,-39.0,1612.0,12.38,0.0215,1|2|3|4|5|6|7|8|9|10|11|12
AA,SJC,1448,-45.0,1645.0,9.3,0.0104,1|2|3|4|5|6|7|8|9|10|11|12
AA,ALB,1445,-80.0,1487.0,13.84,0.0083,1|2|3|4|5|6|7|8|9|10|11|12
AA,GEG,1434,-54.0,2168.0,17.59,0.0084,1|2|3|4|5|6|7|8|9|10|11|12
AA,GSP,1340,-48.0,1578.0,19.57,0.0246,1|2|3|4|5|6|7|8|9|10|11|12
AA,EGE,1326,-55.0,1521.0,36.55,0.0136,1|2|3|4|5|6|7|8|9|10|11|12
AA,GSO,1323,-60.0,1753.0,23.23,0.0272,1|2|3|4|5|6|7|8|9|10|11|12
AA,XNA,1282,-29.0,2307.0,25.17,0.0109,1|2|3|4|5|6|7|8|9|10|11|12
AA,OGG,1257,-70.0,1712.0,-1.36,0.004,1|2|3|4|5|6|7|8|9|10|11|12
AA,CID,1253,-47.0,2070.0,29.4,0.0319,1|2|3|4|5|6|7|8|9|10|11|12
AA,BUR,1229,-45.0,2230.0,15.09,0.0098,1|2|3|4|5|6|7|8|9|10|11|12
AA,MYR,1169,-38.0,893.0,11.1,0.0197,1|2|3|4|5|6|7|8|9|10|11|12
AA,COS,1076,-43.0,1478.0,17.72,0.0251,1|2|3|4|5|6|7|8|9|10|11|12
AA,LEX,1065,-43.0,1679.0,25.62,0.0254,1|2|3|4|5|6|7|8|9|10|11|12
AA,MDT,1055,-54.0,1449.0,16.91,0.0114,1|2|3|4|5|6|7|8|9|10|11|12
AA,JAC,1044,-48.0,2700.0,49.31,0.0115,1|2|3|4|5|6|7|8|9|10|11|12
AA,SBA,1028,-43.0,1418.0,16.65,0.0136,1|2|3|4|5|6|7|8|9|10|11|12
AA,BFL,918,-40.0,1106.0,7.59,0.0109,1|2|3|4|5|6|7|8|9|10|11|12
